Rank,Player,Pts*,Att,Cmp,Yds,TD,Int,2Pt,Att,Yds,TD,2Pt,Rec,Yds,TD,2Pt,FL,TD
69,Dede Westbrook,102,1,0,0,0,0,0,9,98,0,0,66,717,5,0,2,0
70,Zay Jones,102,1,0,0,0,0,0,1,0,0,0,56,652,7,1,0,0
71,Golden Tate,101,0,0,0,0,0,0,4,34,0,0,74,795,4,1,0,0
72,Kerryon Johnson,100,0,0,0,0,0,0,118,641,3,0,32,213,1,0,1,0
73,DeSean Jackson,100,0,0,0,0,0,0,6,29,1,0,41,774,4,0,0,0
74,Latavius Murray,99,0,0,0,0,0,0,140,578,6,0,22,141,0,1,0,0
75,A.J. Green,99,0,0,0,0,0,0,0,0,0,0,46,694,6,0,1,0
76,Doug Martin,97,0,0,0,0,0,0,172,723,4,0,18,116,0,0,3,0
77,Josh Gordon,94,0,0,0,0,0,0,0,0,0,0,41,737,4,0,0,0
78,Mike Davis,94,0,0,0,0,0,0,112,514,4,0,34,214,1,0,0,0
79,Allen Robinson,93,0,0,0,0,0,0,1,9,0,0,55,754,4,0,1,0
80,D.J. Moore,93,0,0,0,0,0,0,13,172,0,0,55,788,2,0,3,0
81,John Brown,93,0,0,0,0,0,0,3,4,0,0,42,715,5,0,0,0
82,Nelson Agholor,93,1,1,15,0,0,0,3,32,0,0,64,736,4,0,0,0
83,Cooper Kupp,92,0,0,0,0,0,0,4,25,0,0,40,566,6,0,0,0
84,Demaryius Thomas,91,0,0,0,0,0,0,0,0,0,0,59,677,5,0,0,0
85,Kenny Stills,91,1,1,3,1,0,0,0,0,0,0,37,553,6,1,0,0
86,Leonard Fournette,91,0,0,0,0,0,0,133,439,5,0,22,185,1,0,0,0
87,Dion Lewis,90,0,0,0,0,0,0,155,517,1,0,59,400,1,0,1,0
88,Tyrell Williams,89,0,0,0,0,0,0,2,15,0,0,41,653,5,0,0,0
89,Curtis Samuel,89,0,0,0,0,0,0,8,84,2,0,39,494,5,0,1,0
90,Jordy Nelson,87,0,0,0,0,0,0,1,-2,0,0,63,739,3,1,0,0
91,Alex Collins,87,0,0,0,0,0,0,114,411,7,0,15,105,1,0,3,0
92,Trey Burton,87,0,0,0,0,0,0,1,2,0,0,54,569,6,1,1,0
93,Doug Baldwin,86,0,0,0,0,0,0,0,0,0,0,50,618,5,0,0,0
94,Courtland Sutton,85,0,0,0,0,0,0,1,-1,0,0,42,704,4,0,0,0
95,Nyheim Hines,85,0,0,0,0,0,0,85,314,2,0,63,425,2,0,0,0
96,Austin Hooper,84,0,0,0,0,0,0,0,0,0,0,71,660,4,1,0,0
97,Antonio Callaway,84,0,0,0,0,0,0,2,7,0,0,43,586,5,1,1,0
98,LeSean McCoy,83,0,0,0,0,0,0,161,514,3,0,34,238,0,0,0,0
99,Gus Edwards,83,0,0,0,0,0,0,137,718,2,1,2,20,0,0,0,0
100,David Njoku,82,0,0,0,0,0,0,0,0,0,0,56,639,4,0,0,0
